model,variant,fraction,seed,perturbation,severity,auc,accuracy
capsnet,no-routing,1.0,2,blur,2.5,0.84431196875,0.72775
capsnet,no-routing,1.0,2,stain,0.0,0.9759325625,0.925375
capsnet,no-routing,1.0,2,stain,0.05,0.9431100937500001,0.873625
capsnet,no-routing,1.0,2,stain,0.1,0.8967795624999999,0.816875
capsnet,no-routing,1.0,2,stain,0.2,0.7947348750000001,0.707875
matched_cnn,,1.0,0,rotation,0.0,0.98415821875,0.939375
matched_cnn,,1.0,0,rotation,15.0,0.971350125,0.91425
matched_cnn,,1.0,0,rotation,30.0,0.9706071875,0.91275
matched_cnn,,1.0,0,rotation,45.0,0.96953371875,0.909875
matched_cnn,,1.0,0,zoom,1.0,0.98415821875,0.939375
matched_cnn,,1.0,0,zoom,1.15,0.9617267500000001,0.896375
matched_cnn,,1.0,0,zoom,1.3,0.9406516874999999,0.851125
matched_cnn,,1.0,0,zoom,1.5,0.895628,0.76575
matched_cnn,,1.0,0,blur,0.0,0.98415821875,0.939375
matched_cnn,,1.0,0,blur,0.75,0.9460378749999999,0.87325
matched_cnn,,1.0,0,blur,1.5,0.8564004062500001,0.772875
matched_cnn,,1.0,0,blur,2.5,0.8188115625,0.73725
matched_cnn,,1.0,0,stain,0.0,0.98415821875,0.939375
matched_cnn,,1.0,0,stain,0.05,0.937086,0.875875
matched_cnn,,1.0,0,stain,0.1,0.87466578125,0.82175
matched_cnn,,1.0,0,stain,0.2,0.76287175,0.72025
matched_cnn,,1.0,1,rotation,0.0,0.9847122812500001,0.939375
matched_cnn,,1.0,1,rotation,15.0,0.9693438437499998,0.908875
matched_cnn,,1.0,1,rotation,30.0,0.96756371875,0.906
matched_cnn,,1.0,1,rotation,45.0,0.9669448125000001,0.90525
matched_cnn,,1.0,1,zoom,1.0,0.9847122812500001,0.939375
matched_cnn,,1.0,1,zoom,1.15,0.9583235625,0.895125
matched_cnn,,1.0,1,zoom,1.3,0.93661759375,0.8545
matched_cnn,,1.0,1,zoom,1.5,0.88464290625,0.771875
matched_cnn,,1.0,1,blur,0.0,0.9847122812500001,0.939375
matched_cnn,,1.0,1,blur,0.75,0.9355708750000001,0.85275
matched_cnn,,1.0,1,blur,1.5,0.849692375,0.76275
matched_cnn,,1.0,1,blur,2.5,0.8122308437499999,0.717375
matched_cnn,,1.0,1,stain,0.0,0.9847122812500001,0.939375
matched_cnn,,1.0,1,stain,0.05,0.93510859375,0.872625
matched_cnn,,1.0,1,stain,0.1,0.8689178125,0.8145
matched_cnn,,1.0,1,stain,0.2,0.7616146250000001,0.720625
matched_cnn,,1.0,2,rotation,0.0,0.98419025,0.93775
matched_cnn,,1.0,2,rotation,15.0,0.9697784687500001,0.9135
matched_cnn,,1.0,2,rotation,30.0,0.969294,0.912625
matched_cnn,,1.0,2,rotation,45.0,0.9683654062500001,0.9075
matched_cnn,,1.0,2,zoom,1.0,0.98419025,0.93775
matched_cnn,,1.0,2,zoom,1.15,0.96106425,0.896625
matched_cnn,,1.0,2,zoom,1.3,0.940617125,0.855125
matched_cnn,,1.0,2,zoom,1.5,0.89798703125,0.777375
matched_cnn,,1.0,2,blur,0.0,0.98419025,0.93775
matched_cnn,,1.0,2,blur,0.75,0.94190525,0.868375
matched_cnn,,1.0,2,blur,1.5,0.86837396875,0.787125
matched_cnn,,1.0,2,blur,2.5,0.8326806875,0.741125
matched_cnn,,1.0,2,stain,0.0,0.98419025,0.93775
